,Name,Action1,Action2,Action3,Action4,Action5,Action6
109,Thug,Multiattack: The thug makes two Melee Attacks.,"Mace: Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 5 (1d6 + 2) bludgeoning damage.","Heavy Crossbow: Ranged Weapon Attack: +2 to hit, range 100/400 ft., one target. Hit: 5 (1d10) piercing damage.",,,
110,Warhorse,"Hooves: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.",,,,,
111,Warhorse Skeleton,"Hooves: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.",,,,,
112,Worg,"Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.",,,,,
113,Animated Armor,Multiattack: The armor makes two Melee Attacks.,"Slam: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) bludgeoning damage.",,,,
114,Brass Dragon Wyrmling,"Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage.",Breath Weapons (Recharge 5-6): The dragon uses one of the following breath Weapons.,,,,
115,Brown Bear,Multiattack: The bear makes two attacks: one with its bite and one with its claws.,"Bite: Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage.","Claws: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.",,,
116,Bugbear,"Morningstar: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 11 (2d8 + 2) piercing damage.","Javelin: Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 9 (2d6 + 2) piercing damage in melee or 5 (1d6 + 2) piercing damage at range.",,,,
117,Copper Dragon Wyrmling,"Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage.",Breath Weapons (Recharge 5-6): The dragon uses one of the following breath Weapons.,,,,
118,Death Dog,Multiattack: The dog makes two bite attacks.,"Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage. If the target is a creature, it must succeed on a DC 12 Constitution saving throw against disease or become Poisoned until the disease is cured. Every 24 hours that elapse, the creature must repeat the saving throw, reducing its hit point maximum by 5 (1d10) on a failure. This reduction lasts until the disease is cured. The creature dies if the disease reduces its hit point maximum to 0.",,,,
119,Dire Wolf,"Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature, it must succeed on a DC 13 Strength saving throw or be knocked prone.",,,,,
120,Dryad,"Club: Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 2 (1 d4) bludgeoning damage.","Club (with shillelagh): Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) bludgeoning damage.","Fey Charm: The dryad Targets one humanoid or beast that she can see within 30 feet of her. If the target can see the dryad, it must succeed on a DC 14 Wisdom saving throw or be magically Charmed. The Charmed creature regards the dryad as a trusted friend to be heeded and protected. Although the target isn't under the dryad's control, it takes the dryad's requests or actions in the most favorable way it can.",,,
121,Duergar,"Enlarge (Recharges after a Short or Long Rest): For 1 minute, the duergar magically increases in size, along with anything it is wearing or carrying. While enlarged, the duergar is Large, doubles its damage dice on Strength-based weapon attacks (included in the attacks), and makes Strength Checks and Strength saving throws with advantage. If the duergar lacks the room to become Large, it attains the maximum size possible in the space available.","War Pick: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) piercing damage, or 11 (2d8 + 2) piercing damage while enlarged.","Javelin: Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage, or 9 (2d6 + 2) piercing damage while enlarged.","Invisibility (Recharges after a Short or Long Rest): The duergar magically turns Invisible until it attacks, casts a spell, or uses its Enlarge, or until its Concentration is broken, up to 1 hour (as if concentrating on a spell). Any Equipment the duergar wears or carries is Invisible with it .",,
122,Ghoul,"Bite: Melee Weapon Attack: +2 to hit, reach 5 ft., one creature. Hit: 9 (2d6 + 2) piercing damage.","Claws: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage. If the target is a creature other than an elf or Undead, it must succeed on a DC 10 Constitution saving throw or be Paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,,
123,Giant Eagle,Multiattack: The eagle makes two attacks: one with its beak and one with its talons.,"Beak: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) piercing damage.","Talons: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.",,,
124,Giant Hyena,"Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage.",,,,,
125,Giant Octopus,"Tentacles: Melee Weapon Attack: +5 to hit, reach 15 ft., one target. Hit: 10 (2d6 + 3) bludgeoning damage. If the target is a creature, it is Grappled (escape DC 16). Until this grapple ends, the target is Restrained, and the Octopus can't use its tentacles on another target.","Ink Cloud (Recharges after a Short or Long Rest): A 20-foot-radius cloud of ink extends all around the Octopus if it is Underwater. The area is heavily obscured for 1 minute, although a significant current can disperse the ink. After releasing the ink, the Octopus can use the Dash action as a Bonus Action.",,,,
126,Giant Spider,"Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 7 (1d8 + 3) piercing damage, and the target must make a DC 11 Constitution saving throw, taking 9 (2d8) poison damage on a failed save, or half as much damage on a successful one. If the poison damage reduces the target to 0 hit points, the target is stable but Poisoned for 1 hour, even after regaining hit points, and is Paralyzed while Poisoned in this way.","Web (Recharge 5-6): Ranged Weapon Attack: +5 to hit, range 30/60 ft., one creature. Hit: The target is Restrained by webbing. As an action, the Restrained target can make a DC 12 Strength check, bursting the webbing on a success. The webbing can also be attacked and destroyed (AC 10; hp 5; vulnerability to fire damage; immunity to bludgeoning, poison, and psychic damage).",,,,
127,Giant Toad,"Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage plus 5 (1d10) poison damage, and the target is Grappled (escape DC 13). Until this grapple ends, the target is Restrained, and the toad can't bite another target.","Swallow: The toad makes one bite Attack against a Medium or smaller target it is Grappling. If the Attack hits, the target is swallowed, and the grapple ends. The swallowed target is Blinded and Restrained, it has total cover against attacks and other effects outside the toad, and it takes 10 (3d6) acid damage at the start of each of the toad's turns. The toad can have only one target swallowed at a time.",,,,
128,Giant Vulture,Multiattack: The Vulture makes two attacks: one with its beak and one with its talons.,"Beak: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) piercing damage.","Talons: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) slashing damage.",,,
129,Harpy,Multiattack: The harpy makes two attacks: one with its claws and one with its club.,"Claws: Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 6 (2d4 + 1) slashing damage.","Club: Melee Weapon Attack: +3 to hit, reach 5 ft., one target. Hit: 3 (1d4 + 1) bludgeoning damage.",Luring Song: The harpy sings a magical melody. Every humanoid and giant within 300 ft. of the harpy that can hear the song must succeed on a DC 11 Wisdom saving throw or be Charmed until the song ends. The harpy must take a Bonus Action on its subsequent turns to continue singing. It can stop singing at any time. The song ends if the harpy is Incapacitated.,,
130,Hippogriff,Multiattack: The hippogriff makes two attacks: one with its beak and one with its claws.,"Beak: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage.","Claws: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.",,,
131,Imp,"Sting (Bite in Beast Form): Melee Weapon Attack: +5 to hit, reach 5 ft ., one target. Hit: 5 (1d4 + 3) piercing damage, and the target must make on a DC 11 Constitution saving throw, taking 10 (3d6) poison damage on a failed save, or half as much damage on a successful one.","Invisibility: The imp magically turns Invisible until it attacks, or until its Concentration ends (as if concentrating on a spell). Any Equipment the imp wears or carries is Invisible with it.",,,,
132,Lion,"Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage.","Claw: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.",,,,
133,Quasit,"Claw (Bite in Beast Form): Melee Weapon Attack: +4 to hit, reach 5 ft ., one target. Hit: 5 (1d4 + 3) piercing damage, and the target must succeed on a DC 10 Constitution saving throw or take 5 (2d4) poison damage and become Poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","Scare (1/day): One creature of the quasit's choice within 20 ft. of it must succeed on a DC 10 Wisdom saving throw or be Frightened for 1 minute. The target can repeat the saving throw at the end of each of its turns, with disadvantage if the quasit is within line of sight, ending the effect on itself on a success.","Invisibility: The quasit magically turns Invisible until it attacks or uses Scare, or until its Concentration ends (as if concentrating on a spell). Any Equipment the quasit wears or carries is Invisible with it.",,,
134,Specter,"Life Drain: Melee Spell Attack: +4 to hit, reach 5 ft., one creature. Hit: 10 (3d6) necrotic damage. The target must succeed on a DC 10 Constitution saving throw or its hit point maximum is reduced by an amount equal to the damage taken. This reduction lasts until the creature finishes a Long Rest. The target dies if this effect reduces its hit point maximum to 0.",,,,,
135,Spy,Multiattack: The spy makes two Melee Attacks.,"Shortsword: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.","Hand Crossbow: Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.",,,
136,Swarm of Quippers,"Bites: Melee Weapon Attack: +5 to hit, reach 0 ft., one creature in the swarm's space. Hit: 14 (4d6) piercing damage, or 7 (2d6) piercing damage if the swarm has half of its hit points or fewer.",,,,,
137,Tiger,"Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage.","Claw: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) slashing damage.",,,,
138,Ankheg,"Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage plus 3 (1d6) acid damage. If the target is a Large or smaller creature, it is Grappled (escape DC 13). Until this grapple ends, the ankheg can bite only the Grappled creature and has advantage on Attack rolls to do so.","Acid Spray (Recharge 6): The ankheg spits acid in a line that is 30 ft. long and 5 ft. wide, provided that it has no creature Grappled. Each creature in that line must make a DC 13 Dexterity saving throw, taking 10 (3d6) acid damage on a failed save, or half as much damage on a successful one.",,,,
139,Awakened Tree,"Slam: Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 14 (3d6 + 4) bludgeoning damage.",,,,,
140,Azer,"Warhammer: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage, or 8 (1d10 + 3) bludgeoning damage if used with two hands to make a melee Attack, plus 3 (1d6) fire damage.",,,,,
141,Bandit Captain,Multiattack: The captain makes three melee attacks: two with its Scimitar and one with its Dagger. Or the captain makes two Ranged Attacks with its daggers.,"Scimitar: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 6 (1d6 + 3) slashing damage.","Dagger: Melee or Ranged Weapon Attack: +5 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 5 (1d4 + 3) piercing damage.","Parry: The captain adds 2 to its AC against one melee Attack that would hit it. To do so, the captain must see the attacker and be wielding a melee weapon.",,
142,Berserker,"Greataxe: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 9 (1d12 + 3) slashing damage.",,,,,
143,Black Dragon Wyrmling,"Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage plus 2 (1d4) acid damage.","Acid Breath (Recharge 5-6): The dragon exhales acid in a 15-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw, taking 22 (5d8) acid damage on a failed save, or half as much damage on a successful one.",,,,
144,Bronze Dragon Wyrmling,"Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage.",Breath Weapons (Recharge 5-6): The dragon uses one of the following breath Weapons.,,,,
145,Centaur,Multiattack: The centaur makes two attacks: one with its pike and one with its hooves or two with its Longbow.,"Pike: Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 9 (1d10 + 4) piercing damage.","Hooves: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.","Longbow: Ranged Weapon Attack: +4 to hit, range 150/600 ft., one target. Hit: 6 (1d8 + 2) piercing damage.",,
146,Cult Fanatic,Multiattack: The fanatic makes two Melee Attacks.,"Dagger: Melee or Ranged Weapon Attack: +4 to hit, reach 5 ft. or range 20/60 ft., one creature. Hit: 4 (1d4 + 2) piercing damage.",,,,
147,Druid,"Quarterstaff: Melee Weapon Attack: +2 to hit (+4 to hit with shillelagh), reach 5 ft., one target. Hit: 3 (1d6) bludgeoning damage, or 6 (1d8 + 2) bludgeoning damage with Shillelagh or if wielded with two hands.",,,,,
148,Ettercap,Multiattack: The ettercap makes two attacks: one with its bite and one with its claws.,"Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 6 (1d8 + 2) piercing damage plus 4 (1d8) poison damage. The target must succeed on a DC 11 Constitution saving throw or be Poisoned for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","Claws: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (2d4 + 2) slashing damage.","Web (Recharge 5-6): Ranged Weapon Attack: +4 to hit, range 30/60 ft., one Large or smaller creature. Hit: The creature is Restrained by webbing. As an action, the Restrained creature can make a DC 11 Strength check, escaping from the webbing on a success. The effect ends if the webbing is destroyed. The webbing has AC 10, 5 hit points, is vulnerable to fire damage and immune to bludgeoning damage.","Variant: Web Garrote: Melee Weapon Attack: +4 to hit, reach 5 ft., one Medium or Small creature against which the ettercap has advantage on the Attack roll. Hit: 4 (1d4 + 2) bludgeoning damage, and the target is Grappled, escape DC 12. Until this grapple ends, the target can't breathe, and the ettercap has advantage on Attack rolls against it.",
149,Gargoyle,Multiattack: The gargoyle makes two attacks: one with its bite and one with its claws.,"Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.","Claws: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) slashing damage.",,,
150,Gelatinous Cube,"Pseudopod: Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 10 (3d6) acid damage.","Engulf: The cube moves up to its speed. While doing so, it can enter Large or smaller creatures' spaces. Whenever the cube enters a creature's space, the creature must make a DC 12 Dexterity saving throw.",,,,
151,Ghast,"Bite: Melee Weapon Attack: +3 to hit, reach 5 ft., one creature. Hit: 12 (2d8 + 3) piercing damage.","Claws: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage. If the target is a creature other than an Undead, it must succeed on a DC 10 Constitution saving throw or be Paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.",,,,
152,Giant Boar,"Tusk: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.",,,,,
153,Giant Constrictor Snake,"Bite: Melee Weapon Attack: +6 to hit, reach 10 ft., one creature. Hit: 11 (2d6 + 4) piercing damage.","Constrict: Melee Weapon Attack: +6 to hit, reach 5 ft., one creature. Hit: 13 (2d8 + 4) bludgeoning damage, and the target is Grappled (escape DC 16). Until this grapple ends, the creature is Restrained, and the snake can't constrict another target.",,,,
154,Giant Elk,"Ram: Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.","Hooves: Melee Weapon Attack: +6 to hit, reach 5 ft., one prone creature. Hit: 22 (4d8 + 4) bludgeoning damage.",,,,
155,Gibbering Mouther,"Multiattack: The gibbering mouther makes one bite Attack and, if it can, uses its Blinding Spittle.","Bites: Melee Weapon Attack: +2 to hit, reach 5 ft., one creature. Hit: 17 (5d6) piercing damage. If the target is Medium or smaller, it must succeed on a DC 10 Strength saving throw or be knocked prone. If the target is killed by this damage, it is absorbed into the mouther.",Blinding Spittle (Recharge 5-6): The mouther spits a chemical glob at a point it can see within 15 feet of it. The glob explodes in a blinding flash of light on impact. Each creature within 5 feet of the flash must succeed on a DC 13 Dexterity saving throw or be Blinded until the end of the mouther's next turn.,,,
156,Green Dragon Wyrmling,"Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage plus 3 (1d6) poison damage.","Poison Breath (Recharge 5-6): The dragon exhales poisonous gas in a 15-foot cone. Each creature in that area must make a DC 11 Constitution saving throw, taking 21 (6d6) poison damage on a failed save, or half as much damage on a successful one.",,,,
157,Grick,"Multiattack: The grick makes one Attack with its tentacles. If that Attack hits, the grick can make one beak Attack against the same target.","Tentacles: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) slashing damage.","Beak: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.",,,
158,Griffon,Multiattack: The griffon makes two attacks: one with its beak and one with its claws.,"Beak: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage.","Claws: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) slashing damage.",,,
159,Hunter Shark,"Bite: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) piercing damage.",,,,,
160,Merrow,Multiattack: The merrow makes two attacks: one with its bite and one with its claws or harpoon.,"Bite: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 8 (1d8 + 4) piercing damage.","Claws: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 9 (2d4 + 4) slashing damage.","Harpoon: Melee or Ranged Weapon Attack: +6 to hit, reach 5 ft. or range 20/60 ft., one target. Hit: 11 (2d6 + 4) piercing damage. If the target is a Huge or smaller creature, it must succeed on a Strength contest against the merrow or be pulled up to 20 feet toward the merrow.",,
161,Mimic,"Pseudopod: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) bludgeoning damage. If the mimic is in object form, the target is subjected to its Adhesive trait.","Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage plus 4 (1d8) acid damage.",,,,
162,Minotaur Skeleton,"Greataxe: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 17 (2d12 + 4) slashing damage.","Gore: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) piercing damage.",,,,
163,Ochre Jelly,"Pseudopod: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 9 (2d6 + 2) bludgeoning damage plus 3 (1d6) acid damage.","Split: When a jelly that is Medium or larger is subjected to lightning or slashing damage, it splits into two new jellies if it has at least 10 hit points. Each new jelly has hit points equal to half the original jelly's, rounded down. New jellies are one size smaller than the original jelly.",,,,
164,Ogre,"Greatclub: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) bludgeoning damage.","Javelin: Melee or Ranged Weapon Attack: +6 to hit, reach 5 ft. or range 30/120 ft., one target. Hit: 11 (2d6 + 4) piercing damage.",,,,
165,Ogre Zombie,"Morningstar: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) bludgeoning damage.",,,,,
166,Pegasus,"Hooves: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 11 (2d6 + 4) bludgeoning damage.",,,,,
167,Plesiosaurus,"Bite: Melee Weapon Attack: +6 to hit, reach 10 ft., one target. Hit: 14 (3d6 + 4) piercing damage.",,,,,
168,Polar Bear,Multiattack: The bear makes two attacks: one with its bite and one with its claws.,"Bite: Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 9 (1d8 + 5) piercing damage.","Claws: Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 12 (2d6 + 5) slashing damage.",,,
169,Priest,"Mace: Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: 3 (1d6) bludgeoning damage.",,,,,
170,Rhinoceros,"Gore: Melee Weapon Attack: +7 to hit, reach 5 ft., one target. Hit: 14 (2d8 + 5) bludgeoning damage.",,,,,
171,Rug of Smothering,"Smother: Melee Weapon Attack: +5 to hit, reach 5 ft., one Medium or smaller creature. Hit: The creature is Grappled (escape DC 13). Until this grapple ends, the target is Restrained, Blinded, and at risk of Suffocating, and the rug can't smother another target. In addition, at the start of each of the target's turns, the target takes 10 (2d6 + 3) bludgeoning damage.",,,,,
172,Saber-Toothed Tiger,"

Bite. Melee Weapon Attack: +6 to hit, reach 5 ft., one  target. Hit: 10 (1d10 + 5) piercing damage. ","Claw. Melee Weapon Attack: +6 to hit, reach 5 ft., one  target. Hit: 12 (2d6 + 5) slashing damage.",,,,
173,Sea Hag,"Claws: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) slashing damage.","Death Glare: The hag Targets one Frightened creature she can see within 30 ft. of her. If the target can see the hag, it must succeed on a DC 11 Wisdom saving throw against this magic or drop to 0 hit points.",Illusory Appearance: The hag covers herself and anything she is wearing or carrying with a magical Illusion that makes her look like an ugly creature of her general size and humanoid shape. The effect ends if the hag takes a Bonus Action to end it or if she dies.,,,
174,Silver Dragon Wyrmling,"Bite: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 9 (1d10 + 4) piercing damage.",Breath Weapons (Recharge 5-6): The dragon uses one of the following breath Weapons.,,,,
175,Swarm of Poisonous Snakes,"Bites: Melee Weapon Attack: +6 to hit, reach 0 ft., one creature in the swarm's space. Hit: 7 (2d6) piercing damage, or 3 (1d6) piercing damage if the swarm has half of its hit points or fewer. The target must make a DC 10 Constitution saving throw, taking 14 (4d6) poison damage on a failed save, or half as much damage on a successful one.",,,,,
176,Wererat,"Multiattack (Humanoid or Hybrid Form Only): The wererat makes two attacks, only one of which can be a bite.","Bite (Rat or Hybrid Form Only).: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 4 (1d4 + 2) piercing damage. If the target is a humanoid, it must succeed on a DC 11 Constitution saving throw or be cursed with wererat lycanthropy.","Shortsword (Humanoid or Hybrid Form Only): Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 5 (1d6 + 2) piercing damage.","Hand Crossbow (Humanoid or Hybrid Form Only): Ranged Weapon Attack: +4 to hit, range 30/120 ft., one target. Hit: 5 (1d6 + 2) piercing damage.",,
177,White Dragon Wyrmling,"Bite: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 7 (1d10 + 2) piercing damage plus 2 (1d4) cold damage.","Cold Breath (Recharge 5-6): The dragon exhales an icy blast of hail in a 15-foot cone. Each creature in that area must make a DC 12 Constitution saving throw, taking 22 (5d8) cold damage on a failed save, or half as much damage on a successful one.",,,,
178,Will-o'-Wisp,"Shock: Melee Spell Attack: +4 to hit, reach 5 ft., one creature. Hit: 9 (2d8) lightning damage. ","Invisibility: The will-o’-wisp and its light magically become Invisible until it attacks or uses its Consume Life, or until its Concentration ends (as if concentrating on a spell).",,,,
179,Basilisk,"Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 10 (2d6 + 3) piercing damage plus 7 (2d6) poison damage.",,,,,
180,Bearded Devil,Multiattack: The devil makes two attacks: one with its beard and one with its Glaive.,"Beard: Melee Weapon Attack: +5 to hit, reach 5 ft., one creature. Hit: 6 (1d8 + 2) piercing damage, and the target must succeed on a DC 12 Constitution saving throw or be Poisoned for 1 minute. While Poisoned in this way, the target can't regain hit points. The target can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","Glaive: Melee Weapon Attack: +5 to hit, reach 10 ft., one target. Hit: 8 (1d10 + 3) slashing damage. If the target is a creature other than an Undead or a construct, it must succeed on a DC 12 Constitution saving throw or lose 5 (1d10) hit points at the start of each of its turns due to an infernal wound. Each time the devil hits the wounded target with this Attack, the damage dealt by the wound increases by 5 (1d10). Any creature can take an action to stanch the wound with a successful DC 12 Wisdom (Medicine) check. The wound also closes if the target receives magical Healing.",,,
181,Blue Dragon Wyrmling,"Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 8 (1d10 + 3) piercing damage plus 3 (1d6) lightning damage.","Lightning Breath (Recharge 5-6): The dragon exhales lightning in a 30-foot line that is 5 feet wide. Each creature in that line must make a DC 12 Dexterity saving throw, taking 22 (4d10) lightning damage on a failed save, or half as much damage on a successful one.",,,,
182,Doppelganger,Multiattack: The doppelganger makes two Melee Attacks.,"Slam: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 7 (1d6 + 4) bludgeoning damage.","Read Thoughts: The doppelganger magically reads the surface thoughts of one creature within 60 ft. of it. The effect can penetrate barriers, but 3 ft. of wood or dirt, 2 ft. of stone, 2 inches of metal, or a thin sheet of lead blocks it. While the target is in range, the doppelganger can continue reading its thoughts, as long as the doppelganger's Concentration isn't broken (as if concentrating on a spell). While reading the target's mind, the doppelganger has advantage on Wisdom (Insight) and Charisma (Deception, Intimidation, and Persuasion) checks against the target.",,,
183,Giant Scorpion,"Claw: Melee Weapon Attack: +4 to hit, reach 5 ft., one target. Hit: 6 (1d8 + 2) bludgeoning damage, and the target is Grappled (escape DC 12). The Scorpion has two claws, each of which can grapple only one target.",Multiattack: The Scorpion makes three attacks: two with its claws and one with its sting.,"Sting: Melee Weapon Attack: +4 to hit, reach 5 ft., one creature. Hit: 7 (1d10 + 2) piercing damage, and the target must make a DC 12 Constitution saving throw, taking 22 (4d10) poison damage on a failed save, or half as much damage on a successful one.",,,
184,Gold Dragon Wyrmling,"Bite: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 9 (1d10 + 4) piercing damage.",Breath Weapons (Recharge 5-6): The dragon uses one of the following breath Weapons.,,,,
185,Green Hag,"Claws: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 13 (2d8 + 4) slashing damage.",Illusory Appearance: The hag covers herself and anything she is wearing or carrying with a magical Illusion that makes her look like another creature of her general size and humanoid shape. The Illusion ends if the hag takes a Bonus Action to end it or if she dies.,"Invisible Passage: The hag magically turns Invisible until she attacks or casts a spell, or until her Concentration ends (as if concentrating on a spell). While Invisible, she leaves no physical evidence of her passage, so she can be tracked only by magic. Any Equipment she wears or carries is Invisible with her.",,,
186,Hell Hound,"Bite: Melee Weapon Attack: +5 to hit, reach 5 ft., one target. Hit: 7 (1d8 + 3) piercing damage plus 7 (2d6) fire damage.","Fire Breath (Recharge 5-6): The hound exhales fire in a 15-foot cone. Each creature in that area must make a DC 12 Dexterity saving throw, taking 21 (6d6) fire damage on a failed save, or half as much damage on a successful one.",,,,
187,Killer Whale,"Bite: Melee Weapon Attack: +6 to hit, reach 5 ft., one target. Hit: 21 (5d6 + 4) piercing damage.",,,,,
